Astronomical Low Tide,Funnel Cloud,Rip Current
Astronomical High Tide,Freezing Fog,Seiche
Avalanche,Hail,Sleet
Blizzard,Heat,Storm Surge/Tide
Coastal Flood,Heavy Rain,Strong Wind
Cold/Wind Chill,Heavy Snow,Thunderstorm Wind
Debris Flow,High Surf,Tornado
Dense Fog,High Wind ,Tropical Depression
Dense Smoke,Hurricane (Typhoon),Tropical Storm
Drought,Ice Storm,Tsunami
Dust Devil,Lake-Effect Snow,Volcanic Ash
Dust Storm,Lakeshore Flood,Waterspout
Excessive Heat,Lightning,Wildfire
Extreme Cold/Wind Chill,Marine Hail,Winter Storm
Flash Flood,Marine High Wind,Winter Weather
Flood,Marine Strong Wind,Unknown
Frost/Freeze,Marine Thunderstorm Wind,
